Function Name,Description,Potential R Functions with Same Functionality,Potential CRAN Packages with Same Functionality,Port?,Additional Remarks
Contents.m,Holds SPM version number,,,No,"The version number would be in the R package DESCRIPTION file, making this superfluous"
loadxml.m,Loads workspace variables,,,,Is this legacy code?  MATLAB's current 'load' function seems like it should have been adequate.
savexml.m,Saves workspace variables,,,,Is this legacy code?  MATLAB's current 'save' function seems like it should have been adequate.
spm.m,Main SPM interface; allows one to switch modalities,,,,GUI definitely should not be ported.
spm_ADEM.m,"Identical to spm_DEM, but ""integrates generative and inversion models in parallel""",,,,"Likely should be merged with spm_DEM, with a flag denoting which method should be used"
spm_ADEM_M_set.m,"""sets indices and performs checks on hierarchical action models""",,,,Can be combined with spm_ADEM?
spm_ADEM_diff.m,"""evaluates an active model given innovations z{i} and w{i}""",,,,Can be combined with spm_ADEM?
spm_ADEM_set.m,"""Performs checks on DEM structures for active inversion""",,,,Can be combined with spm_ADEM?
spm_ADEM_update.m,"""Updates ADEM structure using conditional expectations""",,,,Can be combined with spm_ADEM?
spm_BMS.m,"""Bayesian model selection for group studies""",,,,
spm_BMS_F.m,"""Compute two lower bounds on model evidence p(y|r) for group BMS""",,,,Can be combined with spm_BMS?
spm_BMS_F_smpl.m,,,,,Can be combined with spm_BMS?
spm_BMS_gibbs.m,"""Bayesian model selection for group studies using Gibbs sampling""",,,,Can be combined with spm_BMS?
spm_Bcdf.m,"""Inverse Cumulative Distribution Function (CDF) of Beta distribution""",qbeta,,No,
spm_Bpdf.m,"""Probability Density Function (PDF) of Beta distribution""",pbeta,,No,
spm_Ce.m,"""return error covariance constraints (for serially correlated data)""",,,No,"It is highly highly probable that R has a function for this, but I would need to get more reacquainted with both stats and R to determine that.; At any rate it has already been ported"
spm_DEM.m,"""Dynamic expectation maxmisation""",,,Yes,Appears to be DCM related- lower priority at present.
spm_DEM_F.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_M_set.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_R.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_diff.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_embed.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_eval.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_eval_diff.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_generate.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_int.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_qH.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_qP.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_qU.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_set.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DEM_z.m,,,,Yes,Can be combined with spm_DEM?; Appears to be DCM related- lower priority at present.
spm_DFP.m,,,,,
spm_DFP_plot.m,,,,,
spm_DesMtx.m,,,,,
spm_DesRep.m,,,,,
spm_DisplayTimeSeries.m,,,,,
spm_Dpdf.m,,,ddirichlet,No,
spm_FcUtil.m,,,,,
spm_Fcdf.m,,,pf,No,
spm_Fpdf.m,,,df,No,
spm_GDEM.m,,,,,
spm_Gcdf.m,,,pgamma,No,
spm_Gpdf.m,,,dgamma,No,
spm_Icdf.m,,,pbinom,No,
spm_Ipdf.m,,,dbinom,No,
spm_LAP.m,,,,,
spm_LAPF.m,,,,,
spm_LAPS.m,,,,,
spm_LAP_F.m,,,,,
spm_LAP_eval.m,,,,,
spm_LAP_iS.m,,,,,
spm_LAP_pg.m,,,,,
spm_LAP_ph.m,,,,,
spm_MH.m,,,,,
spm_MH_reml.m,,,,,
spm_MH_reml_likelihood.m,,,,,
spm_NAP.m,,,,,
spm_Ncdf.m,,,pnorm,No,
spm_Ncdf_jdw.m,,,pnorm,No,
spm_Npdf.m,,,dnorm,No,
spm_P.m,,,,,
spm_PEB.m,,,,,
spm_P_Bonf.m,,,,,
spm_P_FDR.m,,,,,
spm_P_RF.m,,,,,
spm_P_clusterFDR.m,,,,,
spm_P_peakFDR.m,,,,,
spm_Pcdf.m,,,ppois,No,
spm_Pec_resels.m,,,,,
spm_Ppdf.m,,,dpois,No,
spm_Q.m,,,,,
spm_Q_perm.m,,,,,
spm_ROI.m,,,,,
spm_SpUtil.m,,,,,
spm_Tcdf.m,,,pt,No,
spm_Tpdf.m,,,dt,No,
spm_VOI.m,,,,,
spm_Volt_W.m,,,,,
spm_Volterra.m,,,,,
spm_XYZreg.m,,,,,
spm_XYZreg_Ex2.m,,,,,
spm_Xcdf.m,,,pchisq,No,
spm_Xpdf.m,,,dchisq,No,
spm_add.m,,,,,
spm_add2.m,,,,,
spm_adjmean_fmri_ui.m,,,,,
spm_adjmean_ui.m,,,,,
spm_affine_priors.m,,,,,
spm_affreg.m,,,,,
spm_ancova.m,,,,,
spm_api_bmc.m,,,,,
spm_ar_reml.m,,,,,
spm_argmax.m,,,,,
spm_atranspa.m,,,,,
spm_authors.m,,,,,
spm_axis.m,,,,,
spm_barh.m,,,,,
spm_bayes2_x2.m,,,,,
spm_beta_compare.m,,,,,
spm_bias_apply.m,,,,,
spm_bias_estimate.m,,,,,
spm_bias_mex.m,,,,,
spm_bias_ui.m,,,,,
spm_bilinear.m,,,,,
spm_bireduce.m,,,,,
spm_bms_compare_groups.m,,,,,
spm_bms_display.m,,,,,
spm_bms_display_ROI.m,,,,,
spm_bms_display_vox.m,,,,,
spm_bms_partition.m,,,,,
spm_brainwarp.m,,,,,
spm_bsplinc.m,,,,,
spm_bsplins.m,,,,,
spm_bwlabel.m,,,,,
spm_cat.m,,,,,
spm_cell_swap.m,,,,,
spm_changepath.m,,,,,
spm_check_filename.m,,,,,
spm_check_installation.m,,,,,
spm_check_orientations.m,,,,,
spm_check_registration.m,,,,,
spm_check_results.m,,,,,
spm_check_version.m,,,,,
spm_chi2_plot.m,,,,,
spm_clf.m,,,,,
spm_clusters.m,,,,,
spm_compact_svd.m,,,,,
spm_compare_families.m,,,,,
spm_cond_units.m,,,,,
spm_conman.m,,,,,
spm_contrasts.m,,,,,
spm_conv.m,,,,,
spm_conv_vol.m,,,,,
spm_convmtx.m,,,,,
spm_coreg.m,,,,,
spm_cov2corr.m,,,,,
spm_create_vol.m,,,,,
spm_cva.m,,,,,
spm_cva_results.m,,,,,
spm_dartel_integrate.m,,,,,
spm_data_id.m,,,,,
spm_dcm_KL.m,,,,,
spm_dcm_U.m,,,,,
spm_dcm_average.m,,,,,
spm_dcm_bma.m,,,,,
spm_dcm_bma_results.m,,,,,
spm_dcm_compare.m,,,,,
spm_dcm_contrasts.m,,,,,
spm_dcm_create.m,,,,,
spm_dcm_delay.m,,,,,
spm_dcm_diagnose.m,,,,,
spm_dcm_display.m,,,,,
spm_dcm_estimate.m,,,,,
spm_dcm_evidence.m,,,,,
spm_dcm_fmri_priors.m,,,,,
spm_dcm_generate.m,,,,,
spm_dcm_graph.m,,,,,
spm_dcm_optimise.m,,,,,
spm_dcm_post_hoc.m,,,,,
spm_dcm_review.m,,,,,
spm_dcm_search.m,,,,,
spm_dcm_sessions.m,,,,,
spm_dcm_sparse_priors.m,,,,,
spm_dcm_specify.m,,,,,
spm_dcm_ui.m,,,,,
spm_dcm_voi.m,,,,,
spm_dctmtx.m,,,,,
spm_defaults.m,,,,,
spm_defs.m,,,,,
spm_design_contrasts.m,,,,,
spm_design_factorial.m,,,,,
spm_design_flexible.m,,,,,
spm_design_within_subject.m,,,,,
spm_detrend.m,,,,,
spm_dftmtx.m,,,,,
spm_diag.m,,,,,
spm_dicom_convert.m,,,oro.dicom,No,
spm_dicom_essentials.m,,,oro.dicom,No,
spm_dicom_headers.m,,,oro.dicom,No,
spm_diff.m,,,,,
spm_digamma.m,,digamma,,No,
spm_dilate.m,,,,,
spm_dirichlet.m,,,,No,Deprecated
spm_dirichlet_exceedance.m,,,,,
spm_dwtmtx.m,,,,,
spm_dx.m,,,,,
spm_dx_eig.m,,,,,
spm_ecat2nifti.m,,,,,
spm_eeg_artefact.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact5.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact_flat.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact_jump.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact_nans.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact_peak2peak.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_artefact_threshchan.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_average.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_average5.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_average_TF.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_bc.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_channelselection.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_compatibility.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_convert.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_convert2images.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_convert2scalp.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_convert_ui.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_copy.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
spm_eeg_crop.m,,,,No,"EEG should be a separate package designed to be compatible/interoperable w/ spmr; there should be some amount of federation here, rather than this package trying to do everything well"
